A,6417350772
AA,3345071
AAA,801519
AAAA,65102
AAAAA,39042
AAAAAA,11393
AAAAAAA,6424
AAAAAAAA,7799
AAAAAAAAA,4663
AAAAAAAAAA,5376
AAAAAAAAAAA,2447
AAAAAAAAAAAA,2131
AAAAAAAAAAAH,149
AAAAAAAAAAH,136
AAAAAAAAAGH,47
AAAAAAAAAH,258
AAAAAAAAGH,74
AAAAAAAAH,522
AAAAAAAARGH,53
AAAAAAAD,49
AAAAAAAGH,90
AAAAAAAH,809
AAAAAAAHHH,46
AAAAAAAHHHH,47
AAAAAAAHHHHH,49
AAAAAAAI,64
AAAAAAGH,221
AAAAAAH,1496
AAAAAAHH,86
AAAAAAHHH,107
AAAAAAHHHH,104
AAAAAAHHHHH,98
AAAAAAHHHHHH,60
AAAAAAI,102
AAAAAAL,61
AAAAAAND,58
AAAAAAR,58
AAAAAARGH,124
AAAAAB,178
AAAAABBBBB,132
AAAAAC,76
AAAAAD,69
AAAAAGH,372
AAAAAH,3304
AAAAAHH,112
AAAAAHHH,268
AAAAAHHHH,372
AAAAAHHHHH,327
AAAAAHHHHHH,75
AAAAAHHHHHHH,44
AAAAAHS,61
AAAAAI,153
AAAAAJ,46
AAAAAL,251
AAAAALL,90
AAAAAM,41
AAAAAN,52
AAAAAND,240
AAAAAR,178
AAAAARGH,334
AAAAAS,64
AAAAAT,180
AAAAATTTTT,155
AAAAAY,89
AAAAB,589
AAAABB,294
AAAABBBB,316
AAAABCCCB,50
AAAAC,180
AAAACH,69
AAAACK,80
AAAAD,183
AAAAE,329
AAAAG,146
AAAAGGGHHH,58
AAAAGH,1034
AAAAH,7684
AAAAHED,80
AAAAHH,509
AAAAHHH,955
AAAAHHHH,764
AAAAHHHHH,355
AAAAHHHHHH,82
AAAAHING,52
AAAAHS,198
AAAAI,1392
AAAAIA,51
AAAAIII,61
AAAAJ,103
AAAAL,340
AAAALL,224
AAAAM,390
AAAAN,225
AAAANA,57
AAAAND,317
AAAAO,123
AAAAON,116
AAAAR,440
AAAARA,60
AAAARE,66
AAAARGH,838
AAAARRGH,65
AAAARRRGH,54
AAAART,46
AAAAS,441
AAAASF,403
AAAAT,592
AAAATA,547
AAAAULT,72
AAAAV,59
AAAAW,85
AAAAY,481
AAAB,3496
AAABA,308
AAABAAAB,122
AAABAB,245
AAABAR,78
AAABARA,68
AAABB,575
AAABBB,906
AAABBBCCC,189
AAABC,111
AAABCCCB,178
AAABER,99
AAABERS,65
AAAC,2586
AAACA,96
AAACC,97
AAACE,950
AAACH,278
AAACHEN,90
AAACK,232
AAACN,315
AAACON,135
AAACOV,62
AAACU,191
AAAD,4408
AAADA,148
AAADC,122
AAADE,291
AAADEMIA,93
AAADS,54
AAADT,669
AAAE,5334
AAAEA,334
AAAEAA,77
AAAEAAED,43
AAAEAAMENT,141
AAAED,179
AAAEE,52
AAAEEE,58
AAAEMBLED,63
AAAEMBLY,427
AAAENT,56
AAAER,103
AAAERT,77
AAAERTED,82
AAAES,68
AAAET,224
AAAETA,556
AAAETS,160
AAAF,1669
AAAG,8655
AAAGE,45
AAAGGGHHH,105
AAAGGH,56
AAAGGHH,83
AAAGH,1916
AAAGHH,83
AAAH,18831
AAAHC,1731
AAAHED,461
AAAHEL,27
AAAHH,1769
AAAHHH,2368
AAAHHHH,621
AAAHHHHH,252
AAAHHHHHH,55
AAAHHHHHHH,44
AAAHHHS,57
AAAHHS,75
AAAHI,195
AAAHING,353
AAAHL,96
AAAHOKMARG,78
AAAHS,1017
AAAI,62103
AAAIA,271
AAAIAA,65
AAAIAT,198
AAAIATANCA,45
AAAIATANCE,250
AAAIATANT,346
AAAIATED,65
AAAID,383
AAAIE,57
AAAIGN,128
AAAIGNA,80
AAAIGNED,308
AAAIGNMENT,77
AAAII,58
AAAIII,53
AAAIIIEEE,53
AAAIL,214
AAAILY,86
AAAIN,1358
AAAING,69
AAAINIT,52
AAAINST,1075
AAAIS,118
AAAIST,60
AAAISTANCE,71
AAAISTANT,53
AAAITION,54
AAAJ,779
AAAK,472
AAAKA,55
AAAKE,301
AAAKING,143
AAAL,4590
AAALA,166
AAALAC,2194
AAALAD,52
AAALAT,103
AAALATANCE,49
AAALATANT,122
AAALE,71
AAALF,174
AAALGNED,77
AAALI,44
AAALL,1358
AAALLER,137
AAALLL,72
AAALLY,48
AAALTD,51
AAALYSIS,283
AAAM,2330
AAAMA,166
AAAMS,122
AAAN,2411
AAANA,401
AAANAGEMENT,119
AAAND,790
AAANDA,173
AAANE,53
AAANG,102
AAANI,25
AAANNN,117
AAANS,153
AAANT,125
AAANY,283
AAANZ,123
AAAO,1618
AAAOA,66
AAAOC,203
AAAOCIATAD,71
AAAOCIATE,81
AAAOCIATEA,55
AAAOCIATED,388
AAAOCIATION,1031
AAAOCIATIONA,147
AAAOCIATLON,64
AAAOCLATED,81
AAAOCLATION,66
AAAOCLATLON,108
AAAOEIATION,65
AAAOI,118
AAAOIS,50
AAAOM,191
AAAON,43
AAAOOIATED,50
AAAOOIATION,73
AAAOS,164
AAAOT,32
AAAOU,51
AAAOUNT,38
AAAOV,81
AAAP,2819
AAAPE,310
AAAPH,14
AAAPKOS,37
AAAPLA,156
AAAPLE,338
AAAPLEA,96
AAAPLES,53
AAAPS,76
AAAPSS,804
AAAPTED,29
AAAR,3739
AAARA,157
AAARATED,346
AAARCH,168
AAARE,181
AAARESS,239
AAARGH,2275
AAARGHH,59
AAARH,179
AAARHUS,48
AAARI,61
AAARICA,133
AAARICAN,254
AAARIOAN,64
AAARKET,60
AAARLCAN,116
AAARON,200
AAARRGGHH,66
AAARRGH,170
AAARRRGGGHHH,101
AAARRRGH,70
AAART,138
AAARY,179
AAAS,96742
AAASA,717
AAASAA,52
AAASE,50
AAASH,269
AAASP,1724
AAASPS,144
AAASS,2753
AAAST,61
AAAT,2934
AAATA,388
AAATC,94
AAATE,611
AAATERIALS,111
AAATEUR,72
AAATH,67
AAATI,36
AAATS,43
AAATT,140
AAATTT,74
AAAU,239
AAAUA,43
AAAUAL,252
AAAUGH,86
AAAUM,47
AAAUME,187
AAAUMED,275
AAAUMING,93
AAAUMPTION,137
AAAURA,76
AAAURAD,50
AAAURANCE,61
AAAURE,121
AAAURED,111
AAAV,791
AAAVA,42
AAAVI,243
AAAVX,55
AAAW,493
AAAWNN,112
AAAWRIN,94
AAAWW,52
AAAWWW,97
AAAX,308
AAAY,4184
AAAYYY,62
AAAZ,51
AAB,52713
AABA,14365
AABAA,530
AABAAB,531
AABAABBAAB,41
AABAABBAB,109
AABAABBBABBA,54
AABAB,583
AABABA,181
AABABB,118
AABAC,110
AABACA,63
AABACH,186
AABAKKEN,337
AABAMA,39
AABANG,93
AABAR,128
AABASSADOR,100
AABB,49679
AABBA,1714
AABBAA,381
AABBAABB,129
AABBAB,118
AABBAC,50
AABBACCDD,128
AABBAR,126
AABBB,401
AABBBA,43
AABBBB,171
AABBC,269
AABBCC,7485
AABBCCD,108
AABBCCDD,2032
AABBCCDDEE,384
