B,111244464
BA,2831500
BAA,192462
BAAA,5951
BAAAA,1680
BAAAAA,562
BAAAAAA,252
BAAAAAAA,79
BAAAAAAAA,51
BAAAAAAAAA,67
BAAAAAAAAD,42
BAAAAAAAD,75
BAAAAAACK,62
BAAAAAAD,143
BAAAAABY,88
BAAAAACK,149
BAAAAAD,423
BAAAAAH,74
BAAAABY,66
BAAAACK,236
BAAAAD,945
BAAAAH,209
BAAAAR,36
BAAAB,321
BAAABY,230
BAAACK,741
BAAAD,2695
BAAAETT,39
BAAAH,439
BAAAING,76
BAAAL,975
BAAALT,134
BAAAR,83
BAAAS,90
BAAB,7890
BAABA,3437
BAABAA,321
BAABAR,565
BAABAY,53
BAABB,155
BAABDA,3494
BAABDAT,430
BAABE,228
BAABI,387
BAABOO,88
BAABS,221
BAABU,989
BAABULLAH,368
BAABY,238
BAAC,7709
BAACH,935
BAACHAN,500
BAACHUS,125
BAACK,3618
BAACKE,1438
BAACKES,223
BAACKMANN,190
BAACOM,68
BAACON,73
BAAD,5883
BAADA,2014
BAADAL,143
BAADAM,33
BAADAR,48
BAADASSS,122
BAADASSSS,521
BAADASSSSS,2680
BAADAYE,454
BAADC,119
BAADCR,134
BAADE,48082
BAADEN,489
BAADER,69857
BAADERS,421
BAADES,61
BAADHI,624
BAADI,466
BAADJE,62
BAADJIE,85
BAADJIES,89
BAADO,50
BAADRI,253
BAADS,444
BAADSGAARD,2853
BAADSHAH,65
BAADSVIK,185
BAADU,203
BAADY,107
BAAE,3918
BAAEA,314
BAAEBALL,58
BAAED,28540
BAAEE,91
BAAEL,110
BAAEMENT,83
BAAEN,41
BAAER,64
BAAERIOL,119
BAAERJEE,61
BAAEROIDES,126
BAAES,220
BAAF,3819
BAAFI,632
BAAFOUR,112
BAAFS,378
BAAFSABDIJ,238
BAAFSPLEIN,176
BAAG,5648
BAAGA,58
BAAGANDJI,222
BAAGE,140
BAAGEE,117
BAAGH,251
BAAGI,377
BAAGO,1677
BAAGOE,382
BAAH,4245
BAAHA,37
BAAHAE,122
BAAHAN,44
BAAHAR,132
BAAHED,102
BAAHI,107
BAAHING,131
BAAHIR,90
BAAHS,68
BAAHUS,152
BAAI,5580
BAAIA,2188
BAAIC,2091
BAAICALLY,85
BAAIE,603
BAAIEN,47
