L,53697570
LA,78935291
LAA,62853
LAAA,6110
LAAAA,978
LAAAAA,369
LAAAAAA,75
LAAAAAAA,70
LAAAAD,61
LAAAAR,50
LAAAC,120
LAAAE,114
LAAAEN,110
LAAAI,79
LAAAIV,26
LAAAL,125
LAAAN,44
LAAAO,48
LAAAR,228
LAAARUS,32
LAAAS,659
LAAAT,993
LAAB,1489
LAABA,103
LAABAN,562
LAABAS,96
LAABE,76
LAABEL,43
LAABEN,81
LAABER,6463
LAABERT,116
LAABERVERLAG,150
LAABI,824
LAABIR,92
LAABRA,42
LAABS,5738
LAAC,922
LAACADEMIA,89
LAACE,37
LAACELLES,29
LAACH,9715
LAACHE,271
LAACHER,3675
LAACHERSEE,146
LAACK,1060
LAACKE,210
LAACKMANN,409
LAACOON,49
LAACOV,65
LAAD,6662
LAADA,546
LAADAH,162
LAADAN,1779
LAADAR,293
LAADARA,118
LAADE,1297
LAADED,68
LAADEN,53
LAADER,193
LAADERS,86
LAADERSHIP,49
LAADI,391
LAADIES,62
LAADING,781
LAADITAAN,115
LAADITTAESSA,89
LAADITTIIN,116
LAADITTU,282
LAADO,49
LAADS,526
LAADT,122
LAADULLINEN,57
LAADULTAAN,124
LAADUN,1170
LAADUSSA,62
LAADUSTA,354
LAADY,245
LAAE,888
LAAED,42
LAAEDIATELY,48
LAAEN,42
LAAER,435
LAAERBERG,269
LAAES,47
LAAET,77
LAAF,1933
LAAFC,31
LAAFF,190
LAAFI,176
LAAFT,58
LAAG,6253
LAAGA,251
LAAGE,6467
LAAGEHELLMAN,44
LAAGEN,376
LAAGER,51151
LAAGERED,2736
LAAGERING,545
LAAGERS,7161
LAAGH,121
LAAGHED,36
LAAGI,129
LAAGJE,109
LAAGJES,104
LAAGLAND,431
LAAGO,63
LAAGS,49
LAAGST,140
LAAGSTE,658
LAAGTE,863
LAAGTES,39
LAAGUA,103
LAAGUAGE,191
LAAGUE,106
LAAGVEEN,133
LAAGVLAKTE,88
LAAH,832
LAAHI,68
LAAHLEY,44
LAAHS,113
LAAI,1837
LAAIA,67
LAAIAH,34
LAAID,60
LAAIE,37
LAAIES,38
LAAII,47
LAAIN,56
LAAIPLEK,287
LAAIS,64
LAAISTRIS,28
LAAIT,56
LAAITIE,307
LAAITIES,123
LAAJ,651
LAAJA,528
LAAJAA,121
LAAJAAN,64
LAAJALAHTI,201
LAAJALLE,58
LAAJALTI,78
LAAJAN,169
LAAJASALO,91
LAAJASSA,69
LAAJASTI,139
LAAJAT,99
LAAJAVUORI,85
LAAJEMMAN,61
LAAJEMMIN,88
LAAJEMPAA,80
LAAJEMPAAN,45
LAAJEMPI,89
LAAJENNETTU,68
LAAJENTAA,134
LAAJENTUNUT,56
LAAJOISSA,66
LAAJOJA,134
LAAJOKI,1252
LAAJUUDEN,82
LAAJUUDESTA,77
LAAJUUS,421
LAAJUUTTA,97
LAAK,5665
LAAKA,637
LAAKANIEMI,133
LAAKARI,69
LAAKARILEHTI,213
LAAKE,5566
LAAKEN,267
LAAKER,168
LAAKETEHDAS,112
LAAKH,78
LAAKI,145
LAAKIN,132
LAAKING,101
LAAKIRCHEN,239
LAAKKO,393
LAAKKONEN,1163
LAAKMAN,360
LAAKMANN,1261
LAAKO,147
LAAKONEN,102
LAAKS,88
LAAKSI,80
LAAKSO,15634
LAAKSOHARJU,760
LAAKSOLAHTI,102
LAAKSONEN,8964
LAAKSOVIRTA,395
LAAKY,79
LAAL,4159
LAALA,593
LAALAND,1259
LAALC,278
LAALCH,74
LAALE,476
LAALI,403
LAALIUS,11
LAALL,45
LAALO,1070
LAALOA,68
LAALOI,100
LAALOJ,314
LAALOS,100
LAAM,13819
LAAMA,70
LAAMAIKAHIKI,80
LAAMAN,845
LAAMANEN,1224
LAAMANN,257
LAAMAOMAO,174
LAAME,37
LAAMEA,450
LAAMI,58
LAAMING,66
LAAMS,89
LAAMSE,74
LAAMU,303
LAAN,37880
LAANA,549
LAANAA,90
LAANAH,33
LAANAN,294
LAANANEN,108
LAANATZA,92
LAANBROEK,747
LAAND,751
LAANDEREN,102
LAANE,6190
LAANECOORIE,156
LAANEMAA,966
LAANEMERE,63
LAANEMETS,311
LAANEN,668
LAANES,262
LAANEST,487
LAANG,1437
