Y,36006159
YA,2387923
YAA,35786
YAAA,1210
YAAAA,496
YAAAAA,663
YAAAAAA,66
YAAAAAAA,55
YAAAAAAAH,45
YAAAAAAAY,61
YAAAAAAH,89
YAAAAAAY,109
YAAAAAH,115
YAAAAAY,135
YAAAAH,325
YAAAAY,207
YAAADA,61
YAAAGH,41
YAAAH,747
YAAAHHH,49
YAAAS,103
YAAAY,307
YAAB,227
YAABA,1976
YAABETZ,173
YAAC,444
YAACOB,6377
YAACOBI,1256
YAACOBY,115
YAACOUB,358
YAACOV,36006
YAACUB,152
YAAD,2254
YAADA,285
YAADEIN,207
YAADGAR,66
YAADON,165
YAAG,175
YAAGA,605
YAAH,1833
YAAI,391
YAAIN,48
YAAK,7489
YAAKA,389
YAAKE,212
YAAKIN,102
YAAKO,98
YAAKOB,1905
YAAKOBI,1341
YAAKOOB,29
YAAKOV,111361
YAAKOVS,128
YAAKOW,102
YAAKU,1566
YAAKUB,1699
YAAL,962
YAALA,2057
YAALE,278
YAALEH,411
YAALON,6255
YAAM,654
YAAMA,303
YAAMBA,307
YAAMI,132
YAAN,3990
YAANA,341
YAAND,35
YAANEK,991
YAANG,530
YAANI,1573
YAAO,51
YAAOO,73
YAAP,432
YAAPAR,91
YAAQOV,1680
YAAQUB,289
YAAR,20183
YAARA,3365
YAARAB,390
YAARAN,218
YAARBOOK,92
YAARD,35
YAARE,309
YAARI,16457
YAARIBA,115
YAARIV,182
YAARL,114
YAARLY,131
YAARO,195
YAARON,320
YAAROS,125
YAAROT,130
YAARRIP,36
YAARS,2987
YAART,204
YAAS,4187
YAASEH,54
YAASIIN,185
YAASIN,134
YAAST,72
YAAT,482
YAATI,99
YAATRA,87
YAAUGH,176
YAAUI,87
YAAV,1539
YAAVETZ,606
YAAW,86
YAAX,714
YAAY,619
YAAYA,682
YAB,16180
YABA,30539
YABABA,60
YABAD,241
YABADABADOO,55
YABAG,91
YABAHOU,94
YABAI,344
YABAKEI,296
YABAKI,270
YABAL,346
YABALA,145
YABALAHA,117
YABALLAHA,852
YABAM,381
YABAN,1074
YABANA,646
YABANCI,1527
YABANCILAR,53
YABANG,293
YABANI,268
YABANJIN,96
YABANNAVAR,223
YABANTU,67
YABAO,338
YABAPOX,256
YABAR,603
YABARA,177
YABARANA,1972
YABAS,177
YABASE,662
YABASHI,349
YABASSI,585
YABATA,207
YABBA,2806
YABBAS,264
YABBELL,11
YABBER,1621
YABBERED,174
YABBERING,649
YABBERS,45
YABBICOM,91
YABBIE,1053
YABBIES,5895
